eugenename,crrproductdescription,crrid,crsuid
"9"" melamine plates",Large Melamine Plate,150,112
"11"" melamine plates",Large Melamine Dinner Plate,149,112
stainless steel forks,Stainless Steel Fork,124,85
stainless steel spoons,Stainless Steel Spoon,125,114
stainless steel table knives,Stainless Steel Knife,126,113
14 oz. melamine bowls,Small Melamine Bowl,165,59
20 oz. melamine bowls,Large Melamine Bowl,164,58
8 oz. polycarbonate glasses,8 oz Polycarbonate Cup,172,54
16 oz. polycarbonate glasses,16 oz Polycarbonate Cup,169,56
22 oz. polycarbonate glasses,22 oz Polycarbonate Cup,170,57
Drinking Water Station,Tap Drinking Water Station,171,111